DATE,AVHWPEUSA065NRUG
1981-01-01,1782.3170713
1982-01-01,1769.1536236
1983-01-01,1777.7042656
1984-01-01,1794.6582218
1985-01-01,1799.2562496
1986-01-01,1780.2341735
1987-01-01,1782.9826651
1988-01-01,1797.437803
1989-01-01,1810.9555341
1990-01-01,1793.3479736
1991-01-01,1782.9395043
1992-01-01,1773.4565579
1993-01-01,1789.8353372
1994-01-01,1805.1665266
1995-01-01,1822.3199696
1996-01-01,1818.6293784
1997-01-01,1830.7950186
1998-01-01,1842.7895777
1999-01-01,1849.3864917
2000-01-01,1848.1473944
2001-01-01,1823.7511409
2002-01-01,1805.4767789
2003-01-01,1782.3306016
2004-01-01,1783.4130353
2005-01-01,1779.6013335
