DATE,GDPC1
1981-01-01,6635.7
1981-04-01,6587.3
1981-07-01,6662.9
1981-10-01,6585.1
1982-01-01,6475.0
1982-04-01,6510.2
1982-07-01,6486.8
1982-10-01,6493.1
1983-01-01,6578.2
1983-04-01,6728.3
1983-07-01,6860.0
1983-10-01,7001.5
1984-01-01,7140.6
1984-04-01,7266.0
1984-07-01,7337.5
1984-10-01,7396.0
1985-01-01,7469.5
1985-04-01,7537.9
1985-07-01,7655.2
1985-10-01,7712.6
1986-01-01,7784.1
1986-04-01,7819.8
1986-07-01,7898.6
1986-10-01,7939.5
1987-01-01,7995.0
1987-04-01,8084.7
1987-07-01,8158.0
1987-10-01,8292.7
1988-01-01,8339.3
1988-04-01,8449.5
1988-07-01,8498.3
1988-10-01,8610.9
1989-01-01,8697.7
1989-04-01,8766.1
1989-07-01,8831.5
1989-10-01,8850.2
1990-01-01,8947.1
1990-04-01,8981.7
1990-07-01,8983.9
1990-10-01,8907.4
1991-01-01,8865.6
1991-04-01,8934.4
1991-07-01,8977.3
1991-10-01,9016.4
1992-01-01,9123.0
1992-04-01,9223.5
1992-07-01,9313.2
1992-10-01,9406.5
1993-01-01,9424.1
1993-04-01,9480.1
1993-07-01,9526.3
1993-10-01,9653.5
1994-01-01,9748.2
1994-04-01,9881.4
1994-07-01,9939.7
1994-10-01,10052.5
1995-01-01,10086.9
1995-04-01,10122.1
1995-07-01,10208.8
1995-10-01,10281.2
1996-01-01,10348.7
1996-04-01,10529.4
1996-07-01,10626.8
1996-10-01,10739.1
1997-01-01,10820.9
1997-04-01,10984.2
1997-07-01,11124.0
1997-10-01,11210.3
1998-01-01,11321.2
1998-04-01,11431.0
1998-07-01,11580.6
1998-10-01,11770.7
1999-01-01,11864.7
1999-04-01,11962.5
1999-07-01,12113.1
1999-10-01,12323.3
2000-01-01,12359.1
2000-04-01,12592.5
2000-07-01,12607.7
2000-10-01,12679.3
2001-01-01,12643.3
2001-04-01,12710.3
2001-07-01,12670.1
2001-10-01,12705.3
2002-01-01,12822.3
2002-04-01,12893.0
2002-07-01,12955.8
2002-10-01,12964.0
2003-01-01,13031.2
2003-04-01,13152.1
2003-07-01,13372.4
2003-10-01,13528.7
2004-01-01,13606.5
2004-04-01,13706.2
2004-07-01,13830.8
2004-10-01,13950.4
2005-01-01,14099.1
