DATE,PCE
1984-01-01,2423.8
1984-02-01,2408.1
1984-03-01,2436.4
1984-04-01,2462.6
1984-05-01,2479.8
1984-06-01,2501.2
1984-07-01,2500.5
1984-08-01,2518.4
1984-09-01,2540.3
1984-10-01,2538.2
1984-11-01,2578.6
1984-12-01,2590.0
1985-01-01,2626.3
1985-02-01,2648.6
1985-03-01,2656.8
1985-04-01,2668.4
1985-05-01,2705.9
1985-06-01,2699.3
1985-07-01,2725.9
1985-08-01,2762.7
1985-09-01,2805.6
1985-10-01,2767.1
1985-11-01,2782.7
1985-12-01,2822.8
1986-01-01,2838.3
1986-02-01,2831.2
1986-03-01,2834.7
1986-04-01,2846.5
1986-05-01,2869.0
1986-06-01,2873.5
1986-07-01,2893.4
1986-08-01,2911.1
1986-09-01,2984.6
1986-10-01,2945.9
1986-11-01,2941.7
1986-12-01,3010.8
1987-01-01,2949.9
1987-02-01,3016.5
1987-03-01,3028.4
1987-04-01,3054.1
1987-05-01,3063.9
1987-06-01,3088.4
1987-07-01,3110.7
1987-08-01,3147.0
1987-09-01,3142.9
1987-10-01,3151.1
1987-11-01,3160.9
1987-12-01,3190.9
1988-01-01,3230.7
1988-02-01,3238.5
1988-03-01,3277.8
1988-04-01,3280.4
1988-05-01,3311.0
1988-06-01,3335.6
1988-07-01,3359.3
1988-08-01,3384.3
1988-09-01,3391.4
1988-10-01,3430.4
1988-11-01,3447.0
1988-12-01,3476.3
1989-01-01,3499.9
1989-02-01,3503.9
1989-03-01,3514.5
1989-04-01,3558.6
1989-05-01,3567.5
1989-06-01,3582.4
1989-07-01,3601.7
1989-08-01,3636.8
1989-09-01,3638.1
1989-10-01,3650.0
1989-11-01,3659.7
1989-12-01,3700.7
1990-01-01,3747.2
1990-02-01,3744.8
1990-03-01,3771.5
1990-04-01,3786.7
1990-05-01,3792.5
1990-06-01,3821.3
1990-07-01,3838.5
1990-08-01,3865.0
1990-09-01,3886.7
1990-10-01,3887.1
1990-11-01,3888.4
1990-12-01,3877.8
1991-01-01,3857.6
1991-02-01,3883.3
1991-03-01,3929.7
1991-04-01,3923.9
1991-05-01,3950.0
1991-06-01,3957.1
1991-07-01,3982.4
1991-08-01,3985.4
1991-09-01,4001.2
1991-10-01,3992.9
1991-11-01,4020.6
1991-12-01,4037.7
1992-01-01,4101.9
1992-02-01,4116.8
1992-03-01,4134.3
1992-04-01,4149.0
1992-05-01,4176.1
1992-06-01,4195.0
1992-07-01,4223.0
1992-08-01,4239.3
1992-09-01,4273.9
1992-10-01,4303.5
1992-11-01,4319.5
1992-12-01,4355.6
1993-01-01,4359.7
1993-02-01,4374.3
1993-03-01,4371.4
1993-04-01,4412.4
1993-05-01,4441.3
1993-06-01,4458.8
1993-07-01,4487.7
1993-08-01,4499.9
1993-09-01,4530.5
1993-10-01,4552.0
1993-11-01,4573.4
1993-12-01,4590.7
1994-01-01,4604.8
1994-02-01,4652.3
1994-03-01,4665.4
1994-04-01,4690.7
1994-05-01,4689.2
1994-06-01,4728.8
1994-07-01,4740.8
1994-08-01,4783.0
1994-09-01,4795.5
1994-10-01,4833.3
1994-11-01,4846.0
1994-12-01,4862.3
1995-01-01,4871.9
1995-02-01,4871.7
1995-03-01,4906.5
1995-04-01,4911.5
1995-05-01,4954.4
1995-06-01,4999.0
1995-07-01,4991.8
1995-08-01,5027.1
1995-09-01,5042.5
1995-10-01,5035.9
1995-11-01,5077.8
1995-12-01,5120.1
1996-01-01,5108.9
1996-02-01,5156.1
1996-03-01,5196.4
1996-04-01,5231.6
1996-05-01,5247.2
1996-06-01,5253.7
1996-07-01,5275.8
1996-08-01,5299.0
1996-09-01,5320.0
1996-10-01,5351.5
1996-11-01,5375.0
1996-12-01,5401.7
1997-01-01,5434.9
1997-02-01,5457.7
1997-03-01,5477.6
1997-04-01,5482.8
1997-05-01,5484.3
1997-06-01,5518.2
1997-07-01,5573.0
1997-08-01,5611.8
1997-09-01,5625.6
1997-10-01,5661.2
1997-11-01,5685.2
1997-12-01,5716.4
1998-01-01,5714.4
1998-02-01,5748.4
1998-03-01,5775.0
1998-04-01,5812.9
1998-05-01,5863.3
1998-06-01,5897.2
1998-07-01,5915.6
1998-08-01,5951.0
1998-09-01,5991.8
1998-10-01,6025.8
1998-11-01,6042.7
1998-12-01,6098.2
1999-01-01,6099.1
1999-02-01,6128.2
1999-03-01,6159.7
1999-04-01,6223.6
1999-05-01,6253.4
1999-06-01,6281.9
1999-07-01,6309.5
1999-08-01,6354.8
1999-09-01,6407.4
1999-10-01,6431.2
1999-11-01,6467.2
1999-12-01,6568.2
2000-01-01,6564.7
2000-02-01,6648.7
2000-03-01,6714.8
2000-04-01,6701.0
2000-05-01,6737.2
2000-06-01,6773.6
2000-07-01,6793.7
2000-08-01,6828.7
2000-09-01,6913.1
2000-10-01,6919.6
2000-11-01,6934.5
2000-12-01,6979.1
2001-01-01,7009.8
2001-02-01,7029.3
2001-03-01,7022.1
2001-04-01,7036.2
2001-05-01,7083.1
2001-06-01,7097.1
2001-07-01,7109.2
2001-08-01,7146.1
2001-09-01,7054.8
2001-10-01,7250.2
2001-11-01,7209.6
2001-12-01,7190.0
2002-01-01,7217.7
2002-02-01,7259.7
2002-03-01,7276.7
2002-04-01,7345.6
2002-05-01,7321.8
2002-06-01,7366.1
2002-07-01,7424.2
2002-08-01,7449.0
2002-09-01,7426.1
2002-10-01,7469.3
2002-11-01,7499.8
2002-12-01,7552.6
2003-01-01,7579.5
2003-02-01,7573.6
2003-03-01,7627.5
2003-04-01,7661.7
2003-05-01,7669.2
2003-06-01,7722.9
2003-07-01,7783.8
2003-08-01,7878.9
2003-09-01,7874.0
2003-10-01,7890.6
2003-11-01,7950.4
2003-12-01,7974.3
2004-01-01,8037.3
2004-02-01,8072.1
2004-03-01,8121.0
2004-04-01,8141.6
2004-05-01,8212.9
2004-06-01,8204.6
2004-07-01,8270.7
2004-08-01,8294.4
2004-09-01,8373.0
2004-10-01,8417.9
2004-11-01,8458.4
2004-12-01,8516.5
2005-01-01,8521.2
